,feature,score
1525,value__first_location_of_maximum|V_100m,0.0
1524,value__first_location_of_maximum|U_10m,0.0
1523,value__first_location_of_maximum|U_100m,0.0
1522,value__first_location_of_maximum|T,0.0
1521,value__first_location_of_maximum|CLCT,0.0
1154,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_20|T",0.0
1155,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_20|U_100m",0.0
1157,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_20|V_100m",0.0
1517,"value__fft_coefficient__coeff_9__attr_""real""|U_100m",0.0
1516,"value__fft_coefficient__coeff_9__attr_""real""|T",0.0
1515,"value__fft_coefficient__coeff_9__attr_""real""|CLCT",0.0
1514,"value__fft_coefficient__coeff_9__attr_""imag""|V_10m",0.0
1513,"value__fft_coefficient__coeff_9__attr_""imag""|V_100m",0.0
1540,value__friedrich_coefficients__m_3__r_30__coeff_1|T,0.0
1510,"value__fft_coefficient__coeff_9__attr_""imag""|T",0.0
1541,value__friedrich_coefficients__m_3__r_30__coeff_1|U_100m,0.0
1153,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_20|CLCT",0.0
1573,value__index_mass_quantile__q_0.1|V_10m,0.0
1572,value__index_mass_quantile__q_0.1|V_100m,0.0
1571,value__index_mass_quantile__q_0.1|U_10m,0.0
1570,value__index_mass_quantile__q_0.1|U_100m,0.0
1569,value__index_mass_quantile__q_0.1|T,0.0
1568,value__index_mass_quantile__q_0.1|CLCT,0.0
1567,value__has_duplicate_min|T,0.0
1566,value__has_duplicate_min|CLCT,0.0
1565,value__has_duplicate_max|U_100m,0.0
1564,value__has_duplicate_max|T,0.0
1150,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_2|U_10m",0.0
1563,value__has_duplicate_max|CLCT,0.0
1562,value__has_duplicate|V_10m,0.0
1561,value__has_duplicate|V_100m,0.0
1560,value__has_duplicate|U_10m,0.0
1559,value__has_duplicate|U_100m,0.0
1558,value__has_duplicate|T,0.0
1557,value__has_duplicate|CLCT,0.0
1554,value__friedrich_coefficients__m_3__r_30__coeff_3|U_10m,0.0
1552,value__friedrich_coefficients__m_3__r_30__coeff_3|T,0.0
1551,value__friedrich_coefficients__m_3__r_30__coeff_3|CLCT,0.0
1549,value__friedrich_coefficients__m_3__r_30__coeff_2|V_100m,0.0
1548,value__friedrich_coefficients__m_3__r_30__coeff_2|U_10m,0.0
1547,value__friedrich_coefficients__m_3__r_30__coeff_2|U_100m,0.0
1546,value__friedrich_coefficients__m_3__r_30__coeff_2|T,0.0
1545,value__friedrich_coefficients__m_3__r_30__coeff_2|CLCT,0.0
1544,value__friedrich_coefficients__m_3__r_30__coeff_1|V_10m,0.0
1542,value__friedrich_coefficients__m_3__r_30__coeff_1|U_10m,0.0
1445,"value__fft_coefficient__coeff_6__attr_""real""|U_100m",0.0
1210,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3|U_10m,0.0
1443,"value__fft_coefficient__coeff_6__attr_""real""|CLCT",0.0
1196,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1|T,0.0
1287,"value__fft_coefficient__coeff_10__attr_""abs""|CLCT",0.0
1197,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1|U_100m,0.0
1198,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1|U_10m,0.0
1286,"value__fft_coefficient__coeff_0__attr_""real""|V_10m",0.0
1285,"value__fft_coefficient__coeff_0__attr_""real""|V_100m",0.0
1284,"value__fft_coefficient__coeff_0__attr_""real""|U_10m",0.0
1283,"value__fft_coefficient__coeff_0__attr_""real""|U_100m",0.0
1199,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1|V_100m,0.0
1282,"value__fft_coefficient__coeff_0__attr_""real""|T",0.0
1281,"value__fft_coefficient__coeff_0__attr_""real""|CLCT",0.0
1288,"value__fft_coefficient__coeff_10__attr_""abs""|T",0.0
1280,"value__fft_coefficient__coeff_0__attr_""angle""|V_10m",0.0
1278,"value__fft_coefficient__coeff_0__attr_""angle""|U_10m",0.0
1277,"value__fft_coefficient__coeff_0__attr_""angle""|U_100m",0.0
1276,"value__fft_coefficient__coeff_0__attr_""abs""|V_10m",0.0
1275,"value__fft_coefficient__coeff_0__attr_""abs""|V_100m",0.0
1200,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1|V_10m,0.0
1273,"value__fft_coefficient__coeff_0__attr_""abs""|U_100m",0.0
1272,"value__fft_coefficient__coeff_0__attr_""abs""|T",0.0
1201,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2|CLCT,0.0
1271,"value__fft_coefficient__coeff_0__attr_""abs""|CLCT",0.0
1270,"value__fft_aggregated__aggtype_""variance""|V_10m",0.0
1202,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2|T,0.0
1279,"value__fft_coefficient__coeff_0__attr_""angle""|V_100m",0.0
1269,"value__fft_aggregated__aggtype_""variance""|V_100m",0.0
1195,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1|CLCT,0.0
1290,"value__fft_coefficient__coeff_10__attr_""abs""|U_10m",0.0
1314,"value__fft_coefficient__coeff_1__attr_""angle""|U_10m",0.0
1313,"value__fft_coefficient__coeff_1__attr_""angle""|U_100m",0.0
1312,"value__fft_coefficient__coeff_1__attr_""angle""|T",0.0
1192,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0|U_10m,0.0
1310,"value__fft_coefficient__coeff_1__attr_""abs""|V_10m",0.0
1309,"value__fft_coefficient__coeff_1__attr_""abs""|V_100m",0.0
1308,"value__fft_coefficient__coeff_1__attr_""abs""|U_10m",0.0
1307,"value__fft_coefficient__coeff_1__attr_""abs""|U_100m",0.0
1306,"value__fft_coefficient__coeff_1__attr_""abs""|T",0.0
1305,"value__fft_coefficient__coeff_1__attr_""abs""|CLCT",0.0
1304,"value__fft_coefficient__coeff_10__attr_""real""|V_10m",0.0
1289,"value__fft_coefficient__coeff_10__attr_""abs""|U_100m",0.0
1303,"value__fft_coefficient__coeff_10__attr_""real""|V_100m",0.0
1300,"value__fft_coefficient__coeff_10__attr_""real""|T",0.0
1299,"value__fft_coefficient__coeff_10__attr_""real""|CLCT",0.0
1298,"value__fft_coefficient__coeff_10__attr_""angle""|V_10m",0.0
1297,"value__fft_coefficient__coeff_10__attr_""angle""|V_100m",0.0
1296,"value__fft_coefficient__coeff_10__attr_""angle""|U_10m",0.0
1295,"value__fft_coefficient__coeff_10__attr_""angle""|U_100m",0.0
1294,"value__fft_coefficient__coeff_10__attr_""angle""|T",0.0
1293,"value__fft_coefficient__coeff_10__attr_""angle""|CLCT",0.0
1292,"value__fft_coefficient__coeff_10__attr_""abs""|V_10m",0.0
1291,"value__fft_coefficient__coeff_10__attr_""abs""|V_100m",0.0
1194,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0|V_10m,0.0
1193,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0|V_100m,0.0
1268,"value__fft_aggregated__aggtype_""variance""|U_10m",0.0
1267,"value__fft_aggregated__aggtype_""variance""|U_100m",0.0
1266,"value__fft_aggregated__aggtype_""variance""|T",0.0
1234,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7|U_10m,0.0
1233,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7|U_100m,0.0
1206,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2|V_10m,0.0
1232,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7|T,0.0
1207,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3|CLCT,0.0
1231,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7|CLCT,0.0
1230,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6|V_10m,0.0
1228,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6|U_10m,0.0
1227,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6|U_100m,0.0
1226,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6|T,0.0
1225,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6|CLCT,0.0
1235,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7|V_100m,0.0
1208,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3|T,0.0
1209,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3|U_100m,0.0
1221,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5|U_100m,0.0
1220,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5|T,0.0
1219,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5|CLCT,0.0
1218,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4|V_10m,0.0
1217,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4|V_100m,0.0
1216,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4|U_10m,0.0
1215,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4|U_100m,0.0
1214,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4|T,0.0
1212,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3|V_10m,0.0
1211,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3|V_100m,0.0
1222,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5|U_10m,0.0
1236,value__energy_ratio_by_chunks__num_segments_10__segment_focus_7|V_10m,0.0
1237,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8|CLCT,0.0
1238,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8|T,0.0
1265,"value__fft_aggregated__aggtype_""variance""|CLCT",0.0
1264,"value__fft_aggregated__aggtype_""skew""|V_10m",0.0
1263,"value__fft_aggregated__aggtype_""skew""|V_100m",0.0
1262,"value__fft_aggregated__aggtype_""skew""|U_10m",0.0
1261,"value__fft_aggregated__aggtype_""skew""|U_100m",0.0
1260,"value__fft_aggregated__aggtype_""skew""|CLCT",0.0
1259,"value__fft_aggregated__aggtype_""kurtosis""|V_10m",0.0
1258,"value__fft_aggregated__aggtype_""kurtosis""|V_100m",0.0
1257,"value__fft_aggregated__aggtype_""kurtosis""|U_10m",0.0
1255,"value__fft_aggregated__aggtype_""kurtosis""|CLCT",0.0
1254,"value__fft_aggregated__aggtype_""centroid""|V_10m",0.0
1253,"value__fft_aggregated__aggtype_""centroid""|V_100m",0.0
1252,"value__fft_aggregated__aggtype_""centroid""|U_10m",0.0
1251,"value__fft_aggregated__aggtype_""centroid""|U_100m",0.0
1250,"value__fft_aggregated__aggtype_""centroid""|T",0.0
1249,"value__fft_aggregated__aggtype_""centroid""|CLCT",0.0
1203,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2|U_100m,0.0
1204,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2|U_10m,0.0
1205,value__energy_ratio_by_chunks__num_segments_10__segment_focus_2|V_100m,0.0
1244,value__energy_ratio_by_chunks__num_segments_10__segment_focus_9|T,0.0
1243,value__energy_ratio_by_chunks__num_segments_10__segment_focus_9|CLCT,0.0
1242,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8|V_10m,0.0
1241,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8|V_100m,0.0
1240,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8|U_10m,0.0
1239,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8|U_100m,0.0
1315,"value__fft_coefficient__coeff_1__attr_""angle""|V_100m",0.0
1316,"value__fft_coefficient__coeff_1__attr_""angle""|V_10m",0.0
1317,"value__fft_coefficient__coeff_1__attr_""imag""|CLCT",0.0
1318,"value__fft_coefficient__coeff_1__attr_""imag""|T",0.0
1408,"value__fft_coefficient__coeff_5__attr_""angle""|T",0.0
1407,"value__fft_coefficient__coeff_5__attr_""angle""|CLCT",0.0
1406,"value__fft_coefficient__coeff_5__attr_""abs""|V_10m",0.0
1405,"value__fft_coefficient__coeff_5__attr_""abs""|V_100m",0.0
1404,"value__fft_coefficient__coeff_5__attr_""abs""|U_10m",0.0
1403,"value__fft_coefficient__coeff_5__attr_""abs""|U_100m",0.0
1178,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_20|T",0.0
1401,"value__fft_coefficient__coeff_5__attr_""abs""|CLCT",0.0
1400,"value__fft_coefficient__coeff_4__attr_""real""|V_10m",0.0
1398,"value__fft_coefficient__coeff_4__attr_""real""|U_10m",0.0
1397,"value__fft_coefficient__coeff_4__attr_""real""|U_100m",0.0
1409,"value__fft_coefficient__coeff_5__attr_""angle""|U_100m",0.0
1396,"value__fft_coefficient__coeff_4__attr_""real""|T",0.0
1394,"value__fft_coefficient__coeff_4__attr_""imag""|V_10m",0.0
1179,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_20|U_100m",0.0
1393,"value__fft_coefficient__coeff_4__attr_""imag""|V_100m",0.0
1392,"value__fft_coefficient__coeff_4__attr_""imag""|U_10m",0.0
1390,"value__fft_coefficient__coeff_4__attr_""imag""|T",0.0
1389,"value__fft_coefficient__coeff_4__attr_""imag""|CLCT",0.0
1387,"value__fft_coefficient__coeff_4__attr_""angle""|V_100m",0.0
1386,"value__fft_coefficient__coeff_4__attr_""angle""|U_10m",0.0
1180,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_20|U_10m",0.0
1385,"value__fft_coefficient__coeff_4__attr_""angle""|U_100m",0.0
1383,"value__fft_coefficient__coeff_4__attr_""angle""|CLCT",0.0
1395,"value__fft_coefficient__coeff_4__attr_""real""|CLCT",0.0
1410,"value__fft_coefficient__coeff_5__attr_""angle""|U_10m",0.0
1411,"value__fft_coefficient__coeff_5__attr_""angle""|V_100m",0.0
1176,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_2|V_10m",0.0
1442,"value__fft_coefficient__coeff_6__attr_""imag""|V_10m",0.0
1441,"value__fft_coefficient__coeff_6__attr_""imag""|V_100m",0.0
1439,"value__fft_coefficient__coeff_6__attr_""imag""|U_100m",0.0
1438,"value__fft_coefficient__coeff_6__attr_""imag""|T",0.0
1437,"value__fft_coefficient__coeff_6__attr_""imag""|CLCT",0.0
1436,"value__fft_coefficient__coeff_6__attr_""angle""|V_10m",0.0
1435,"value__fft_coefficient__coeff_6__attr_""angle""|V_100m",0.0
1434,"value__fft_coefficient__coeff_6__attr_""angle""|U_10m",0.0
1433,"value__fft_coefficient__coeff_6__attr_""angle""|U_100m",0.0
1432,"value__fft_coefficient__coeff_6__attr_""angle""|T",0.0
1431,"value__fft_coefficient__coeff_6__attr_""angle""|CLCT",0.0
1172,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_2|T",0.0
1173,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_2|U_100m",0.0
1430,"value__fft_coefficient__coeff_6__attr_""abs""|V_10m",0.0
1429,"value__fft_coefficient__coeff_6__attr_""abs""|V_100m",0.0
1427,"value__fft_coefficient__coeff_6__attr_""abs""|U_100m",0.0
1426,"value__fft_coefficient__coeff_6__attr_""abs""|T",0.0
1174,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_2|U_10m",0.0
1421,"value__fft_coefficient__coeff_5__attr_""real""|U_100m",0.0
1420,"value__fft_coefficient__coeff_5__attr_""real""|T",0.0
1418,"value__fft_coefficient__coeff_5__attr_""imag""|V_10m",0.0
1417,"value__fft_coefficient__coeff_5__attr_""imag""|V_100m",0.0
1416,"value__fft_coefficient__coeff_5__attr_""imag""|U_10m",0.0
1414,"value__fft_coefficient__coeff_5__attr_""imag""|T",0.0
1413,"value__fft_coefficient__coeff_5__attr_""imag""|CLCT",0.0
1630,value__large_standard_deviation__r_0.1|U_100m,0.0
1444,"value__fft_coefficient__coeff_6__attr_""real""|T",0.0
1380,"value__fft_coefficient__coeff_4__attr_""abs""|U_10m",0.0
1378,"value__fft_coefficient__coeff_4__attr_""abs""|T",0.0
1344,"value__fft_coefficient__coeff_2__attr_""imag""|U_10m",0.0
1343,"value__fft_coefficient__coeff_2__attr_""imag""|U_100m",0.0
1342,"value__fft_coefficient__coeff_2__attr_""imag""|T",0.0
1341,"value__fft_coefficient__coeff_2__attr_""imag""|CLCT",0.0
1340,"value__fft_coefficient__coeff_2__attr_""angle""|V_10m",0.0
1339,"value__fft_coefficient__coeff_2__attr_""angle""|V_100m",0.0
1338,"value__fft_coefficient__coeff_2__attr_""angle""|U_10m",0.0
1337,"value__fft_coefficient__coeff_2__attr_""angle""|U_100m",0.0
1335,"value__fft_coefficient__coeff_2__attr_""angle""|CLCT",0.0
1334,"value__fft_coefficient__coeff_2__attr_""abs""|V_10m",0.0
1333,"value__fft_coefficient__coeff_2__attr_""abs""|V_100m",0.0
1345,"value__fft_coefficient__coeff_2__attr_""imag""|V_100m",0.0
1332,"value__fft_coefficient__coeff_2__attr_""abs""|U_10m",0.0
1189,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0|CLCT,0.0
1328,"value__fft_coefficient__coeff_1__attr_""real""|V_10m",0.0
1326,"value__fft_coefficient__coeff_1__attr_""real""|U_10m",0.0
1325,"value__fft_coefficient__coeff_1__attr_""real""|U_100m",0.0
1324,"value__fft_coefficient__coeff_1__attr_""real""|T",0.0
1323,"value__fft_coefficient__coeff_1__attr_""real""|CLCT",0.0
1322,"value__fft_coefficient__coeff_1__attr_""imag""|V_10m",0.0
1190,value__energy_ratio_by_chunks__num_segments_10__segment_focus_0|T,0.0
1321,"value__fft_coefficient__coeff_1__attr_""imag""|V_100m",0.0
1320,"value__fft_coefficient__coeff_1__attr_""imag""|U_10m",0.0
1319,"value__fft_coefficient__coeff_1__attr_""imag""|U_100m",0.0
1188,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_5|V_10m",0.0
1346,"value__fft_coefficient__coeff_2__attr_""imag""|V_10m",0.0
1347,"value__fft_coefficient__coeff_2__attr_""real""|CLCT",0.0
1348,"value__fft_coefficient__coeff_2__attr_""real""|T",0.0
1183,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_5|CLCT",0.0
1184,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_5|T",0.0
1377,"value__fft_coefficient__coeff_4__attr_""abs""|CLCT",0.0
1376,"value__fft_coefficient__coeff_3__attr_""real""|V_10m",0.0
1375,"value__fft_coefficient__coeff_3__attr_""real""|V_100m",0.0
1374,"value__fft_coefficient__coeff_3__attr_""real""|U_10m",0.0
1373,"value__fft_coefficient__coeff_3__attr_""real""|U_100m",0.0
1370,"value__fft_coefficient__coeff_3__attr_""imag""|V_10m",0.0
1185,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_5|U_100m",0.0
1186,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_5|U_10m",0.0
1366,"value__fft_coefficient__coeff_3__attr_""imag""|T",0.0
1365,"value__fft_coefficient__coeff_3__attr_""imag""|CLCT",0.0
1364,"value__fft_coefficient__coeff_3__attr_""angle""|V_10m",0.0
1363,"value__fft_coefficient__coeff_3__attr_""angle""|V_100m",0.0
1362,"value__fft_coefficient__coeff_3__attr_""angle""|U_10m",0.0
1361,"value__fft_coefficient__coeff_3__attr_""angle""|U_100m",0.0
1360,"value__fft_coefficient__coeff_3__attr_""angle""|T",0.0
1359,"value__fft_coefficient__coeff_3__attr_""angle""|CLCT",0.0
1358,"value__fft_coefficient__coeff_3__attr_""abs""|V_10m",0.0
1357,"value__fft_coefficient__coeff_3__attr_""abs""|V_100m",0.0
1356,"value__fft_coefficient__coeff_3__attr_""abs""|U_10m",0.0
1355,"value__fft_coefficient__coeff_3__attr_""abs""|U_100m",0.0
1354,"value__fft_coefficient__coeff_3__attr_""abs""|T",0.0
1352,"value__fft_coefficient__coeff_2__attr_""real""|V_10m",0.0
1350,"value__fft_coefficient__coeff_2__attr_""real""|U_10m",0.0
1379,"value__fft_coefficient__coeff_4__attr_""abs""|U_100m",0.0
1415,"value__fft_coefficient__coeff_5__attr_""imag""|U_100m",0.0
1676,value__last_location_of_maximum|CLCT,0.0
1632,value__large_standard_deviation__r_0.1|V_100m,0.0
2014,value__spkt_welch_density__coeff_5|T,0.0
2012,value__spkt_welch_density__coeff_2|V_10m,0.0
2011,value__spkt_welch_density__coeff_2|V_100m,0.0
2008,value__spkt_welch_density__coeff_2|T,0.0
2007,value__spkt_welch_density__coeff_2|CLCT,0.0
2006,value__skewness|V_10m,0.0
2005,value__skewness|V_100m,0.0
2004,value__skewness|U_10m,0.0
2003,value__skewness|U_100m,0.0
2002,value__skewness|T,0.0
2001,value__skewness|CLCT,0.0
2000,value__sample_entropy|V_10m,0.0
1998,value__sample_entropy|U_10m,0.0
2015,value__spkt_welch_density__coeff_5|U_100m,0.0
1997,value__sample_entropy|U_100m,0.0
1994,value__ratio_value_number_to_time_series_length|V_10m,0.0
1993,value__ratio_value_number_to_time_series_length|V_100m,0.0
1992,value__ratio_value_number_to_time_series_length|U_10m,0.0
1991,value__ratio_value_number_to_time_series_length|U_100m,0.0
1990,value__ratio_value_number_to_time_series_length|T,0.0
1989,value__ratio_value_number_to_time_series_length|CLCT,0.0
1988,value__ratio_beyond_r_sigma__r_3|V_10m,0.0
1987,value__ratio_beyond_r_sigma__r_3|V_100m,0.0
1986,value__ratio_beyond_r_sigma__r_3|U_10m,0.0
1985,value__ratio_beyond_r_sigma__r_3|U_100m,0.0
1984,value__ratio_beyond_r_sigma__r_3|T,0.0
1983,value__ratio_beyond_r_sigma__r_3|CLCT,0.0
1982,value__ratio_beyond_r_sigma__r_2.5|V_10m,0.0
1995,value__sample_entropy|CLCT,0.0
2017,value__spkt_welch_density__coeff_5|V_100m,0.0
2018,value__spkt_welch_density__coeff_5|V_10m,0.0
2021,value__spkt_welch_density__coeff_8|U_100m,0.0
2052,value__symmetry_looking__r_0.05|U_10m,0.0
2051,value__symmetry_looking__r_0.05|U_100m,0.0
2050,value__symmetry_looking__r_0.05|T,0.0
2049,value__symmetry_looking__r_0.05|CLCT,0.0
2048,value__sum_values|V_10m,0.0
2047,value__sum_values|V_100m,0.0
2046,value__sum_values|U_10m,0.0
2045,value__sum_values|U_100m,0.0
2044,value__sum_values|T,0.0
2043,value__sum_values|CLCT,0.0
2042,value__sum_of_reoccurring_values|V_10m,0.0
2041,value__sum_of_reoccurring_values|V_100m,0.0
2040,value__sum_of_reoccurring_values|U_10m,0.0
2039,value__sum_of_reoccurring_values|U_100m,0.0
2038,value__sum_of_reoccurring_values|T,0.0
2037,value__sum_of_reoccurring_values|CLCT,0.0
2036,value__sum_of_reoccurring_data_points|V_10m,0.0
2035,value__sum_of_reoccurring_data_points|V_100m,0.0
2034,value__sum_of_reoccurring_data_points|U_10m,0.0
2033,value__sum_of_reoccurring_data_points|U_100m,0.0
2032,value__sum_of_reoccurring_data_points|T,0.0
2031,value__sum_of_reoccurring_data_points|CLCT,0.0
2029,value__standard_deviation|V_100m,0.0
2028,value__standard_deviation|U_10m,0.0
2027,value__standard_deviation|U_100m,0.0
2026,value__standard_deviation|T,0.0
2025,value__standard_deviation|CLCT,0.0
2024,value__spkt_welch_density__coeff_8|V_10m,0.0
2023,value__spkt_welch_density__coeff_8|V_100m,0.0
1981,value__ratio_beyond_r_sigma__r_2.5|V_100m,0.0
2053,value__symmetry_looking__r_0.05|V_100m,0.0
1980,value__ratio_beyond_r_sigma__r_2.5|U_10m,0.0
1978,value__ratio_beyond_r_sigma__r_2.5|T,0.0
1943,value__range_count__max_1000000000000.0__min_0|T,0.0
1942,value__range_count__max_1000000000000.0__min_0|CLCT,0.0
1941,value__quantile__q_0.9|V_10m,0.0
1940,value__quantile__q_0.9|V_100m,0.0
1938,value__quantile__q_0.9|U_100m,0.0
1937,value__quantile__q_0.9|T,0.0
1936,value__quantile__q_0.9|CLCT,0.0
1935,value__quantile__q_0.8|V_10m,0.0
1934,value__quantile__q_0.8|V_100m,0.0
1933,value__quantile__q_0.8|U_10m,0.0
1932,value__quantile__q_0.8|U_100m,0.0
1931,value__quantile__q_0.8|T,0.0
1930,value__quantile__q_0.8|CLCT,0.0
1944,value__range_count__max_1000000000000.0__min_0|U_100m,0.0
1929,value__quantile__q_0.7|V_10m,0.0
1927,value__quantile__q_0.7|U_10m,0.0
1926,value__quantile__q_0.7|U_100m,0.0
1925,value__quantile__q_0.7|T,0.0
1924,value__quantile__q_0.7|CLCT,0.0
1923,value__quantile__q_0.6|V_10m,0.0
1921,value__quantile__q_0.6|U_10m,0.0
1920,value__quantile__q_0.6|U_100m,0.0
1919,value__quantile__q_0.6|T,0.0
1918,value__quantile__q_0.6|CLCT,0.0
1917,value__quantile__q_0.4|V_10m,0.0
1916,value__quantile__q_0.4|V_100m,0.0
1915,value__quantile__q_0.4|U_10m,0.0
1914,value__quantile__q_0.4|U_100m,0.0
1928,value__quantile__q_0.7|V_100m,0.0
1945,value__range_count__max_1000000000000.0__min_0|U_10m,0.0
1946,value__range_count__max_1000000000000.0__min_0|V_100m,0.0
1947,value__range_count__max_1000000000000.0__min_0|V_10m,0.0
1977,value__ratio_beyond_r_sigma__r_2.5|CLCT,0.0
1976,value__ratio_beyond_r_sigma__r_2|V_10m,0.0
1975,value__ratio_beyond_r_sigma__r_2|V_100m,0.0
1974,value__ratio_beyond_r_sigma__r_2|U_10m,0.0
1973,value__ratio_beyond_r_sigma__r_2|U_100m,0.0
1972,value__ratio_beyond_r_sigma__r_2|T,0.0
1971,value__ratio_beyond_r_sigma__r_2|CLCT,0.0
1970,value__ratio_beyond_r_sigma__r_1.5|V_10m,0.0
1969,value__ratio_beyond_r_sigma__r_1.5|V_100m,0.0
1968,value__ratio_beyond_r_sigma__r_1.5|U_10m,0.0
1967,value__ratio_beyond_r_sigma__r_1.5|U_100m,0.0
1966,value__ratio_beyond_r_sigma__r_1.5|T,0.0
1964,value__ratio_beyond_r_sigma__r_1|V_10m,0.0
1963,value__ratio_beyond_r_sigma__r_1|V_100m,0.0
1962,value__ratio_beyond_r_sigma__r_1|U_10m,0.0
1961,value__ratio_beyond_r_sigma__r_1|U_100m,0.0
1960,value__ratio_beyond_r_sigma__r_1|T,0.0
1959,value__ratio_beyond_r_sigma__r_1|CLCT,0.0
1958,value__ratio_beyond_r_sigma__r_0.5|V_10m,0.0
1957,value__ratio_beyond_r_sigma__r_0.5|V_100m,0.0
1956,value__ratio_beyond_r_sigma__r_0.5|U_10m,0.0
1955,value__ratio_beyond_r_sigma__r_0.5|U_100m,0.0
1954,value__ratio_beyond_r_sigma__r_0.5|T,0.0
1953,value__ratio_beyond_r_sigma__r_0.5|CLCT,0.0
1952,value__range_count__max_1__min_-1|V_10m,0.0
1951,value__range_count__max_1__min_-1|V_100m,0.0
1950,value__range_count__max_1__min_-1|U_10m,0.0
1949,value__range_count__max_1__min_-1|U_100m,0.0
1948,value__range_count__max_1__min_-1|CLCT,0.0
1979,value__ratio_beyond_r_sigma__r_2.5|U_100m,0.0
1912,value__quantile__q_0.4|CLCT,0.0
2054,value__symmetry_looking__r_0.05|V_10m,0.0
2056,value__symmetry_looking__r_0.1|T,0.0
2149,value__symmetry_looking__r_0.8500000000000001|V_100m,0.0
2148,value__symmetry_looking__r_0.8500000000000001|U_10m,0.0
2147,value__symmetry_looking__r_0.8500000000000001|U_100m,0.0
2146,value__symmetry_looking__r_0.8500000000000001|T,0.0
2145,value__symmetry_looking__r_0.8500000000000001|CLCT,0.0
2144,value__symmetry_looking__r_0.8|V_10m,0.0
2143,value__symmetry_looking__r_0.8|V_100m,0.0
2142,value__symmetry_looking__r_0.8|U_10m,0.0
2141,value__symmetry_looking__r_0.8|U_100m,0.0
2140,value__symmetry_looking__r_0.8|T,0.0
2139,value__symmetry_looking__r_0.8|CLCT,0.0
2138,value__symmetry_looking__r_0.75|V_10m,0.0
2137,value__symmetry_looking__r_0.75|V_100m,0.0
