,feature,score
162,"value__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""slope""|U_100m",-2024.8193782186136
1782,value__minimum|V_100m,-2023.9526988364523
231,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr""|V_10m",-1931.193591455114
205,"value__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""slope""|U_10m",-1923.6864390615374
189,"value__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""stderr""|V_10m",-1914.690062941052
2019,value__spkt_welch_density__coeff_8|CLCT,-1880.6698455081787
445,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0|U_10m",-1879.9740606521955
1555,value__friedrich_coefficients__m_3__r_30__coeff_3|V_100m,-1867.9748235743027
1224,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5|V_10m,-1841.327484264737
1518,"value__fft_coefficient__coeff_9__attr_""real""|U_10m",-1800.8376883463934
627,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0|V_10m",-1798.2498569519958
1156,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_8__w_20|U_10m",-1790.8281518212752
78,value__abs_energy|U_100m,-1728.6591646004235
622,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0|CLCT",-1708.61567804683
211,"value__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""|U_10m",-1693.1985504481709
334,"value__augmented_dickey_fuller__autolag_""AIC""__attr_""pvalue""|CLCT",-1673.0574098797515
427,value__c3__lag_2|U_10m,-1669.773793629487
477,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0|V_10m",-1615.819950409932
1068,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_4__w_5|V_10m",-1588.2937249665847
1467,"value__fft_coefficient__coeff_7__attr_""real""|CLCT",-1549.7570093455724
1556,value__friedrich_coefficients__m_3__r_30__coeff_3|V_10m,-1526.5031470530666
11,V_100m_last_month,-1438.9807362196734
1553,value__friedrich_coefficients__m_3__r_30__coeff_3|U_100m,-1424.234979973291
923,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_12__w_5|V_100m",-1416.0686629791744
1187,"value__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_9__w_5|V_100m",-1391.8626740416512
1456,"value__fft_coefficient__coeff_7__attr_""angle""|T",-1324.3715430097654
524,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8|V_100m",-1286.8601945450064
288,value__approximate_entropy__m_2__r_0.5|U_100m,-1270.1857715047663
636,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0|U_100m",-1195.2729353423929
